Penny Ann Early (Hill),30/05/1943,Chicago,IL
Zaid Abdul-Aziz,07/04/1946,Brooklyn,NY
Kareem Abdul-Jabbar,16/04/1947,New York,NY
Mahdi Abdul-Rahman,15/04/1942,Wilmington,DE,18/11/2011
Mahmoud Abdul-Rauf,09/03/1969,Gulfport,MS
Julius Shareef Abdur-Rahim,11/12/1976,Marietta,GA
Thomas Craig Abernethy,06/05/1954,South Bend,IN
John Abramovic,09/02/1919,Etna,PA,09/06/2000
Alex Acker,21/01/1983,Compton,CA
Donald D. Ackerman,04/09/1930,New York,NY,09/07/2011
Mark Richard Acres,15/11/1962,Inglewood,CA
Alvan Leigh Adams,19/07/1954,Lawrence,KS
Donald L. Adams,27/11/1947,Atlanta,GA
George Adams,15/05/1949,Kings Mountain,NC
Glenn Reed Adams,04/04/1917,Carpentersville,IL,31/03/2011
Hassan Olawale Adams,20/06/1984,Inglewood,CA
Howard O'Neale Adams,21/01/1919,El Paso,AR,27/10/1998
Michael Adams,19/01/1963,Hartford,CT
Rafael Addison,22/07/1964,Jersey City,NJ
Richard Leonard Adelman,16/06/1946,Lynwood,CA
Jeff Adrien,10/02/1986,Brookline,MA
Arron Agustin Afflalo,15/10/1985,Los Angeles,CA
Maurice Darnell Ager,09/02/1984,Detroit,MI
Mark Anthony Aguirre,10/12/1959,Chicago,IL
Daniel Blake Ahearn,27/05/1984,St. Louis,MO
Daniel Ray Ainge,17/03/1959,Eugene,OR
Matthew Alexander Aitch,21/09/1944,St. Louis,MO,04/04/2007
Warren J. Ajax,12/05/1921,Minneapolis,MN,19/12/2004
Henry T. Akin,31/07/1944,Detroit,MI
Mark Steven Alarie,11/12/1963,Phoenix,AZ
Cole David Aldrich,31/10/1988,Burnsville,MN
LaMarcus Nurae Aldridge,19/07/1985,Dallas,TX
Charles Aleksinas,26/02/1959,Litchfield,CT
Cory Lynn Alexander,22/06/1973,Waynesboro,VA
Courtney Jason Alexander,27/04/1977,Bridgeport,CT
Gary R. Alexander,01/11/1969,Jacksonville,FL
Merle Alexander,02/09/1907,Rushville,IN,02/02/1987
Victor Joe Alexander,31/08/1969,Detroit,MI
Stephen Todd Alford,23/11/1964,Franklin,IN
Anthony Allen,11/01/1982,Chicago,IL
James Randall Allen,26/01/1965,Milton,FL
Jerome Byron Allen,28/01/1973,Philadelphia,PA
Lavoy Allen,04/02/1989,Trenton,NJ
Lucius Oliver Allen,26/09/1947,Kansas City,KS
Malik Allen,27/06/1978,Willingboro,NJ
Robert J. Allen,17/07/1946,Port Huron,MI
Walter Ray Allen,20/07/1975,Merced,CA
Lance Collin Allred,02/02/1981,Salt Lake City,UT
Darrell Wilbert Allums,12/09/1958,Los Angeles,CA
Morris Almond,02/02/1985,Dalton,GA
Derrick Samuel Alston,20/08/1972,Bronx,NY
Rafer Jamel Alston,24/07/1976,New York,NY
John Ekwugha Amaechi,26/11/1970,Boston,MA
Ashraf Amaya,23/11/1971,Oak Park,IL
Al-Farouq Aminu,21/09/1990,Atlanta,GA
Louis Gabriel Amundson,07/12/1982,Ventura,CA
Robert H. Anderegg,24/08/1937,Monroe,WI
Chris Andersen,07/07/1978,Iola,TX
Alan Jeffery Anderson,16/10/1982,Minneapolis,MN
Andrew Emil Anderson,06/07/1945,Buffalo,NY
Antonio Andres Anderson,05/06/1985,Lynn,MA
Clifford V. Anderson,07/09/1944,Philadelphia,PA
Daniel W. Anderson,15/02/1943,Minneapolis,MN
Derek Lamont Anderson,18/07/1974,Louisville,KY
Dwight Anthony Anderson,28/12/1960,Dayton,OH
Eric Walfred Anderson,26/05/1970,Chicago,IL
Gregory Wayne Anderson,22/06/1964,Houston,TX
James Lee Anderson,25/03/1989,El Dorado,AR
Jerome Anderson,09/10/1953,Mullens,WV,01/08/2009
Keith Kim Anderson,12/05/1955,Sedalia,MO
Kenneth Anderson,09/10/1970,Corona,NY
Michael Levin Anderson,23/03/1966,Philadelphia,PA
Mitchell Keith Anderson,23/09/1960,Chicago,IL
Nelison Anderson,20/01/1968,Chicago,IL
Richard Andrew Anderson,19/11/1960,San Pedro,CA
Ronald Gene Anderson,15/10/1958,Chicago,IL
Ryan James Anderson,06/05/1988,Sacramento,CA
Shandon Rodriguez Anderson,31/12/1973,Atlanta,GA
Willie Lloyd Anderson,08/01/1967,Greenville,SC
Ernest Henry Andres,11/01/1918,Jeffersonville,IN,19/09/2008
Donald Robert Anielak,01/11/1930,St. Louis,MO,19/11/1995
Michael Antonio Ansley,08/02/1967,Birmingham,AL
Carmelo Kyam Anthony,29/05/1984,Brooklyn,NY
Gregory Carleton Anthony,15/11/1967,Las Vegas,NV
Nathaniel Archibald,02/09/1948,New York,NY
Jimmie Lee Ard,19/09/1948,Harvey,IL
Gilbert Jay Arenas,06/01/1982,Tampa,FL
Trevor Anthony Ariza,30/06/1985,Miami,FL
Paul Joseph Arizin,09/04/1928,Philadelphia,PA,12/12/2006
Joseph Arlauckas,20/07/1965,Rochester,NY
Benjamin Roy Armstrong,09/09/1967,Detroit,MI
Brandon Simone Armstrong,16/06/1980,San Francisco,CA
